n,2n,closest_value,d(n)
49111551,98223102,98428426,205324
49108345,98216690,98422006,205316
49107227,98214454,98419768,205314
49105735,98211470,98416772,205302
49104111,98208222,98413514,205292
49103899,98207798,98413090,205292
49100959,98201918,98407210,205292
49099247,98198494,98403769,205275
49098579,98197158,98402431,205273
49097385,98194770,98400035,205265
49095919,98191838,98397098,205260
49094313,98188626,98393884,205258
49092831,98185662,98390909,205247
49090303,98180606,98385842,205236
49086707,98173414,98378639,205225
49086575,98173150,98378374,205224
49085743,98171486,98376701,205215
49081983,98163966,98369176,205210
49081215,98162430,98367628,205198
49081023,98162046,98367244,205198
49079763,98159526,98364724,205198
49078495,98156990,98362186,205196
49076445,98152890,98358085,205195
49074843,98149686,98354855,205169
49071867,98143734,98348903,205169
49071343,98142686,98347840,205154
49068105,98136210,98341352,205142
49066727,98133454,98338591,205137
49064861,98129722,98334857,205135
49064617,98129234,98334364,205130
49062391,98124782,98329901,205119
49058203,98116406,98321512,205106
49055739,98111478,98316575,205097
49054857,98109714,98314810,205096
49053979,98107958,98313043,205085
49051645,98103290,98308372,205082
49050863,98101726,98306795,205069
49047209,98094418,98299474,205056
49047039,98094078,98299132,205054
49043967,98087934,98292982,205048
49043547,98087094,98292136,205042
49041407,98082814,98287843,205029
49039273,98078546,98283568,205022
49038363,98076726,98281745,205019
49036255,98072510,98277527,205017
49033129,98066258,98271274,205016
49030215,98060430,98265415,204985
49029001,98058002,98262982,204980
49028073,98056146,98261126,204980
49027563,98055126,98260103,204977
49025791,98051582,98256557,204975
49025767,98051534,98256503,204969
49024103,98048206,98253166,204960
49023463,98046926,98251886,204960
49023079,98046158,98251112,204954
49022043,98044086,98249036,204950
49019359,98038718,98243668,204950
49016575,98033150,98238076,204926
49013897,98027794,98232713,204919
49012159,98024318,98229223,204905
49006729,98013458,98218352,204894
49004653,98009306,98214200,204894
49003759,98007518,98212396,204878
49003755,98007510,98212385,204875
49001755,98003510,98208380,204870
48999787,97999574,98204440,204866
48999783,97999566,98204426,204860
48999579,97999158,98204015,204857
48999271,97998542,98203394,204852
48998777,97997554,98202406,204852
48995495,97990990,98195834,204844
48994543,97989086,98193922,204836
48993511,97987022,98191858,204836
48991529,97983058,98187880,204822
48988495,97976990,98181811,204821
48987483,97974966,98179780,204814
48986719,97973438,98178247,204809
48982057,97964114,98168920,204806
48980823,97961646,98166431,204785
48980607,97961214,98165990,204776
48977663,97955326,98160088,204762
48973823,97947646,98152396,204750
48972583,97945166,98149913,204747
48970143,97940286,98145032,204746
48968815,97937630,98142358,204728
48967337,97934674,98139397,204723
48960889,97921778,98126480,204702
48960155,97920310,98125001,204691
48958791,97917582,98122270,204688
48957513,97915026,98119714,204688
48957307,97914614,98119300,204686
48955465,97910930,98115610,204680
48954151,97908302,98112970,204668
48950831,97901662,98106326,204664
48948463,97896926,98101582,204656
48944359,97888718,98093341,204623
48939387,97878774,98083396,204622
48938219,97876438,98081057,204619
48938095,97876190,98080792,204602
48936607,97873214,98077810,204596
48934983,97869966,98074550,204584
48934911,97869822,98074405,204583
48929959,97859918,98064488,204570
48928359,97856718,98061280,204562
48927337,97854674,98059234,204560
48927211,97854422,98058977,204555
48922603,97845206,98049746,204540
48922047,97844094,98048627,204533
48919977,97839954,98044486,204532
48919273,97838546,98043074,204528
48918975,97837950,98042476,204526
48916251,97832502,98037011,204509
48914127,97828254,98032754,204500
48911227,97822454,98026942,204488
48909991,97819982,98024470,204488
48909615,97819230,98023711,204481
48908135,97816270,98020748,204478
48907903,97815806,98020276,204470
48906215,97812430,98016895,204465
48901439,97802878,98007322,204444
48897673,97795346,97999787,204441
48894291,97788582,97993000,204418
48890911,97781822,97986223,204401
48889703,97779406,97983799,204393
48887247,97774494,97978880,204386
48884415,97768830,97973212,204382
48882951,97765902,97970282,204380
48881761,97763522,97967888,204366
48879643,97759286,97963643,204357
48879055,97758110,97962466,204356
48879007,97758014,97962370,204356
48878247,97756494,97960843,204349
48877567,97755134,97959482,204348
48875575,97751150,97955494,204344
48874175,97748350,97952686,204336
48873451,97746902,97951234,204332
48871535,97743070,97947389,204319
48871167,97742334,97946650,204316
48867099,97734198,97938508,204310
48864383,97728766,97933055,204289
48862975,97725950,97930235,204285
48860263,97720526,97924801,204275
48860095,97720190,97924463,204273
48859243,97718486,97922756,204270
48857791,97715582,97919842,204260
48853161,97706322,97910572,204250
48850559,97701118,97905350,204232
48850239,97700478,97904710,204232
48848543,97697086,97901311,204225
48845851,97691702,97895924,204222
48844447,97688894,97893103,204209
48844015,97688030,97892233,204203
48840703,97681406,97885594,204188
48838729,97677458,97881646,204188
48836455,97672910,97877089,204179
48836255,97672510,97876687,204177
48833791,97667582,97871759,204177
48832851,97665702,97869863,204161
48831231,97662462,97866611,204149
48828095,97656190,97860329,204139
48826745,97653490,97857623,204133
48826607,97653214,97857344,204130
48823229,97646458,97850587,204129
48821003,97642006,97846127,204121
48818249,97636498,97840604,204106
48817289,97634578,97838680,204102
48816935,97633870,97837972,204102
48816809,97633618,97837708,204090
48814639,97629278,97833365,204087
48812239,97624478,97828561,204083
48810889,97621778,97825858,204080
48810473,97620946,97825016,204070
48809897,97619794,97823857,204063
48808495,97616990,97821053,204063
48807807,97615614,97819670,204056
48807039,97614078,97818128,204050
48803611,97607222,97811260,204038
48802943,97605886,97809923,204037
48801407,97602814,97806850,204036
48799439,97598878,97802908,204030
48796399,97592798,97796824,204026
48793897,97587794,97791814,204020
48793775,97587550,97791569,204019
48792969,97585938,97789948,204010
48791599,97583198,97787195,203997
48790783,97581566,97785556,203990
48789417,97578834,97782821,203987
48787167,97574334,97778320,203986
48786203,97572406,97776376,203970
48785919,97571838,97775800,203962
48784711,97569422,97773380,203958
48780647,97561294,97765238,203944
48779759,97559518,97763453,203935
48775561,97551122,97755052,203930
48774395,97548790,97752712,203922
48774143,97548286,97752203,203917
48771567,97543134,97747040,203906
48771071,97542142,97746046,203904
48770331,97540662,97744562,203900
48768467,97536934,97740832,203898
48767865,97535730,97739627,203897
48767327,97534654,97738549,203895
48766079,97532158,97736053,203895
48765439,97530878,97734760,203882
48765255,97530510,97734388,203878
48760895,97521790,97725649,203859
48757947,97515894,97719743,203849
48753575,97507150,97710988,203838
48751583,97503166,97706989,203823
48750191,97500382,97704199,203817
48750063,97500126,97703939,203813
48748313,97496626,97700438,203812
48744475,97488950,97692749,203799
48744219,97488438,97692230,203792
48742447,97484894,97688677,203783
48740351,97480702,97684481,203779
48736937,97473874,97677632,203758
48734367,97468734,97672483,203749
48730011,97460022,97663769,203747
48729599,97459198,97662928,203730
48728423,97456846,97660576,203730
48728233,97456466,97660192,203726
48724797,97449594,97653310,203716
48724345,97448690,97652395,203705
48723391,97446782,97650481,203699
48722473,97444946,97648645,203699
48722143,97444286,97647983,203697
48720635,97441270,97644964,203694
48719943,97439886,97643576,203690
48718579,97437158,97640846,203688
48716575,97433150,97636832,203682
48716027,97432054,97635730,203676
48715471,97430942,97634614,203672
48713499,97426998,97630658,203660
48711551,97423102,97626760,203658
48709223,97418446,97622098,203652
48707239,97414478,97618120,203642
48706281,97412562,97616191,203629
48705695,97411390,97615016,203626
48704603,97409206,97612832,203626
48704287,97408574,97612195,203621
