n,2n,closest_value,d(n)
29813759,59627518,59752168,124650
29813247,59626494,59751142,124648
29812159,59624318,59748961,124643
29810911,59621822,59746459,124637
29809017,59618034,59742670,124636
29807431,59614862,59739484,124622
29804647,59609294,59733916,124622
29803903,59607806,59732423,124617
29803385,59606770,59731384,124614
29803215,59606430,59731042,124612
29802719,59605438,59730041,124603
29801115,59602230,59726828,124598
29797177,59594354,59718941,124587
29796347,59592694,59717272,124578
29791721,59583442,59708000,124558
29789435,59578870,59703419,124549
29788099,59576198,59700746,124548
29787503,59575006,59699549,124543
29785759,59571518,59696054,124536
29782633,59565266,59689798,124532
29782495,59564990,59689511,124521
29780873,59561746,59686258,124512
29780431,59560862,59685373,124511
29780129,59560258,59684768,124510
29779815,59559630,59684132,124502
29777255,59554510,59679008,124498
29776255,59552510,59677006,124496
29774375,59548750,59673239,124489
29773417,59546834,59671318,124484
29771679,59543358,59667838,124480
29767635,59535270,59659739,124469
29766369,59532738,59657191,124453
29766335,59532670,59657120,124450
29763311,59526622,59651063,124441
29760303,59520606,59645038,124432
29759515,59519030,59643454,124424
29758791,59517582,59642000,124418
29756443,59512886,59637298,124412
29753343,59506686,59631077,124391
29749885,59499770,59624156,124386
29749551,59499102,59623481,124379
29747611,59495222,59619601,124379
29746599,59493198,59617565,124367
29745983,59491966,59616331,124365
29742703,59485406,59609770,124364
29742619,59485238,59609600,124362
29741307,59482614,59606960,124346
29739751,59479502,59603840,124338
29737031,59474062,59598389,124327
29735071,59470142,59594458,124316
29732079,59464158,59588464,124306
29727899,59455798,59580092,124294
29725349,59450698,59574989,124291
29723931,59447862,59572150,124288
29722527,59445054,59569342,124288
29720687,59441374,59565638,124264
29720347,59440694,59564950,124256
29719999,59439998,59564254,124256
29719549,59439098,59563354,124256
29716731,59433462,59557702,124240
29714535,59429070,59553301,124231
29713967,59427934,59552162,124228
29712927,59425854,59550082,124228
29712495,59424990,59549218,124228
29711359,59422718,59546938,124220
29710427,59420854,59545070,124216
29709311,59418622,59542828,124206
29706667,59413334,59537537,124203
29705831,59411662,59535862,124200
29704617,59409234,59533432,124198
29703305,59406610,59530799,124189
29700751,59401502,59525678,124176
29698279,59396558,59520728,124170
29697263,59394526,59518684,124158
29693481,59386962,59511107,124145
29688143,59376286,59500420,124134
29687337,59374674,59498800,124126
29685919,59371838,59495956,124118
29685275,59370550,59494666,124116
29683967,59367934,59492050,124116
29682687,59365374,59489473,124099
29679595,59359190,59483279,124089
29679103,59358206,59482289,124083
29675465,59350930,59475010,124080
29674579,59349158,59473237,124079
29673193,59346386,59470451,124065
29668991,59337982,59462036,124054
29668767,59337534,59461577,124043
29668591,59337182,59461219,124037
29666045,59332090,59456126,124036
29664539,59329078,59453108,124030
29663143,59326286,59450308,124022
29662183,59324366,59448382,124016
29661223,59322446,59446460,124014
29660287,59320574,59444584,124010
29657913,59315826,59439835,124009
29657387,59314774,59438774,124000
29657001,59314002,59438002,124000
29654809,59309618,59433608,123990
29652991,59305982,59429968,123986
29652193,59304386,59428366,123980
29651795,59303590,59427566,123976
29650697,59301394,59425370,123976
29650183,59300366,59424340,123974
29649913,59299826,59423795,123969
29649833,59299666,59423632,123966
29649801,59299602,59423564,123962
29648351,59296702,59420657,123955
29646959,59293918,59417873,123955
29644743,59289486,59413430,123944
29643711,59287422,59411357,123935
29640423,59280846,59404769,123923
29639323,59278646,59402569,123923
29639295,59278590,59402510,123920
29634085,59268170,59392082,123912
29633563,59267126,59391022,123896
29630911,59261822,59385716,123894
29630111,59260222,59384099,123877
29628583,59257166,59381038,123872
29625023,59250046,59373917,123871
29624807,59249614,59373484,123870
29622383,59244766,59368624,123858
29621815,59243630,59367482,123852
29621759,59243518,59367370,123852
29619791,59239582,59363428,123846
29617919,59235838,59359675,123837
29617415,59234830,59358658,123828
29614639,59229278,59353094,123816
29614559,59229118,59352934,123816
29613823,59227646,59351456,123810
29612359,59224718,59348528,123810
29610663,59221326,59345135,123809
29610081,59220162,59343965,123803
29607527,59215054,59338838,123784
29606383,59212766,59336549,123783
29604857,59209714,59333492,123778
29602907,59205814,59329579,123765
29599611,59199222,59322985,123763
29599591,59199182,59322941,123759
29598207,59196414,59320168,123754
29598187,59196374,59320120,123746
29596399,59192798,59316542,123744
29593115,59186230,59309962,123732
29590355,59180710,59304431,123721
29589161,59178322,59302042,123720
29588827,59177654,59301361,123707
29588479,59176958,59300660,123702
29586985,59173970,59297672,123702
29585529,59171058,59294758,123700
29583807,59167614,59291302,123688
29583359,59166718,59290402,123684
29581823,59163646,59287322,123676
29581631,59163262,59286938,123676
29580463,59160926,59284601,123675
29579007,59158014,59281684,123670
29578599,59157198,59280866,123668
29576217,59152434,59276099,123665
29574259,59148518,59272177,123659
29573959,59147918,59271565,123647
29573099,59146198,59269841,123643
29572089,59144178,59267821,123643
29570729,59141458,59265094,123636
29569647,59139294,59262928,123634
29569135,59138270,59261897,123627
29567039,59134078,59257691,123613
29564671,59129342,59252948,123606
29564623,59129246,59252852,123606
29562651,59125302,59248901,123599
29561499,59122998,59246588,123590
29558441,59116882,59240464,123582
29555115,59110230,59233798,123568
29553825,59107650,59231216,123566
29553535,59107070,59230628,123558
29551975,59103950,59227504,123554
29549451,59098902,59222447,123545
29549311,59098622,59222161,123539
29548287,59096574,59220112,123538
29546379,59092758,59216291,123533
29543519,59087038,59210558,123520
29542119,59084238,59207750,123512
29538395,59076790,59200288,123498
29537519,59075038,59198530,123492
29536367,59072734,59196221,123487
29533839,59067678,59191162,123484
29532651,59065302,59188781,123479
29532411,59064822,59188300,123478
29531439,59062878,59186348,123470
29528303,59056606,59180059,123453
29527177,59054354,59177803,123449
29527143,59054286,59177735,123449
29524671,59049342,59172788,123446
29519919,59039838,59163262,123424
29519871,59039742,59163157,123415
29516607,59033214,59156618,123404
29514237,59028474,59151874,123400
29513979,59027958,59151356,123398
29513207,59026414,59149810,123396
29511631,59023262,59146654,123392
29507199,59014398,59137766,123368
29503713,59007426,59130782,123356
29503647,59007294,59130643,123349
29502399,59004798,59128142,123344
29502121,59004242,59127584,123342
29498727,58997454,59120786,123332
29495871,58991742,59115071,123329
29494511,58989022,59112341,123319
29492901,58985802,59109118,123316
29491975,58983950,59107265,123315
29491355,58982710,59106014,123304
29488353,58976706,59099996,123290
29484927,58969854,59093134,123280
29484351,58968702,59091982,123280
29482977,58965954,59089228,123274
29481983,58963966,59087227,123261
29479643,58959286,59082542,123256
29479147,58958294,59081548,123254
29478151,58956302,59079550,123248
29473279,58946558,59069780,123222
29471775,58943550,59066770,123220
29468443,58936886,59060090,123204
29467119,58934238,59057437,123199
29463979,58927958,59051153,123195
29463687,58927374,59050565,123191
29463067,58926134,59049319,123185
29459593,58919186,59042371,123185
29458345,58916690,59039852,123162
29455671,58911342,59034500,123158
29453993,58907986,59031139,123153
29452735,58905470,59028608,123138
29452391,58904782,59027920,123138
29449089,58898178,59021314,123136
29447507,58895014,59018132,123118
29445887,58891774,59014888,123114
29445801,58891602,59014712,123110
29444591,58889182,59012284,123102
29441149,58882298,59005397,123099
29440447,58880894,59003980,123086
29439955,58879910,59002996,123086
29438303,58876606,58999688,123082
29437191,58874382,58997456,123074
29434493,58868986,58992056,123070
29430761,58861522,58984577,123055
29429673,58859346,58982398,123052
29427625,58855250,58978294,123044
29426233,58852466,58975508,123042
29424749,58849498,58972534,123036
29424043,58848086,58971112,123026
29423335,58846670,58969691,123021
29422815,58845630,58968649,123019
29419751,58839502,58962512,123010
29419007,58838014,58961014,123000
29418943,58837886,58960882,122996
29416615,58833230,58956226,122996
29416061,58832122,58955110,122988
29411241,58822482,58945444,122962
29407711,58815422,58938380,122958
29405435,58810870,58933816,122946
29401641,58803282,58926214,122932
29400935,58801870,58924789,122919
29398507,58797014,58919926,122912
29398119,58796238,58919150,122912
29395231,58790462,58913369,122907
29394487,58788974,58911869,122895
29391867,58783734,58906621,122887
29390761,58781522,58904404,122882
29390567,58781134,58904014,122880
29390331,58780662,58903540,122878
29389353,58778706,58901579,122873
29389119,58778238,58901107,122869
29386367,58772734,58895599,122865
29385385,58770770,58893628,122858
29385115,58770230,58893085,122855
29382303,58764606,58887452,122846
29381659,58763318,58886164,122846
29378975,58757950,58880783,122833
29373323,58746646,58869461,122815
29372667,58745334,58868135,122801
29371167,58742334,58865131,122797
29368487,58736974,58859764,122790
29365737,58731474,58854256,122782
29363865,58727730,58850507,122777
29361065,58722130,58844884,122754
29355641,58711282,58834033,122751
29355567,58711134,58833865,122731
29354727,58709454,58832183,122729
29349935,58699870,58822595,122725
29349147,58698294,58821005,122711
29348831,58697662,58820368,122706
29347175,58694350,58817045,122695
29346911,58693822,58816516,122694
29346079,58692158,58814851,122693
29344195,58688390,58811078,122688
29338751,58677502,58800170,122668
29337371,58674742,58797404,122662
29336071,58672142,58794802,122660
29335359,58670718,58793368,122650
29335295,58670590,58793240,122650
29334911,58669822,58792472,122650
29332839,58665678,58788322,122644
29331527,58663054,58785689,122635
29330089,58660178,58782802,122624
29328799,58657598,58780222,122624
29324585,58649170,58771775,122605
29324527,58649054,58771655,122601
29321319,58642638,58765232,122594
29321289,58642578,58765171,122593
29319451,58638902,58761487,122585
29316975,58633950,58756523,122573
29315809,58631618,58754188,122570
29312937,58625874,58748429,122555
29311679,58623358,58745911,122553
29310191,58620382,58742926,122544
29307219,58614438,58736978,122540
29306215,58612430,58734962,122532
29305511,58611022,58733549,122527
29303741,58607482,58730008,122526
29303439,58606878,58729402,122524
29303287,58606574,58729090,122516
29298223,58596446,58718945,122499
29293803,58587606,58710094,122488
29293735,58587470,58709953,122483
29293695,58587390,58709873,122483
29292161,58584322,58706792,122470
29289129,58578258,58700720,122462
29287807,58575614,58698067,122453
29285935,58571870,58694312,122442
29285353,58570706,58693144,122438
29284415,58568830,58691267,122437
29283143,58566286,58688716,122430
29282207,58564414,58686842,122428
29280415,58560830,58683256,122426
29279361,58558722,58681145,122423
29278207,58556414,58678823,122409
29276269,58552538,58674947,122409
29273119,58546238,58668644,122406
29272219,58544438,58666828,122390
29271487,58542974,58665364,122390
29269231,58538462,58660852,122390
29268991,58537982,58660352,122370
29263789,58527578,58649939,122361
29262063,58524126,58646477,122351
29257769,58515538,58637884,122346
29256233,58512466,58634806,122340
29255991,58511982,58634314,122332
29255791,58511582,58633901,122319
29251603,58503206,58625518,122312
29251099,58502198,58624505,122307
29247663,58495326,58617628,122302
29247657,58495314,58617610,122296
29247487,58494974,58617256,122282
29246463,58492926,58615201,122275
29245695,58491390,58613665,122275
29245135,58490270,58612538,122268
29241721,58483442,58605700,122258
29239807,58479614,58601866,122252
29239291,58478582,58600832,122250
29239067,58478134,58600376,122242
29236537,58473074,58595312,122238
29235227,58470454,58592683,122229
29232231,58464462,58586678,122216
29229019,58458038,58580248,122210
29226223,58452446,58574636,122190
29225455,58450910,58573100,122190
29224219,58448438,58570624,122186
29223407,58446814,58568996,122182
29219267,58438534,58560707,122173
29216935,58433870,58556032,122162
29216425,58432850,58555006,122156
29212871,58425742,58547882,122140
29212031,58424062,58546193,122131
29207533,58415066,58537192,122126
29206263,58412526,58534648,122122
29202687,58405374,58527478,122104
29200383,58400766,58522858,122092
29200091,58400182,58522274,122092
29199871,58399742,58521827,122085
29197531,58395062,58517144,122082
29196841,58393682,58515758,122076
29195499,58390998,58513067,122069
29193455,58386910,58508972,122062
29193375,58386750,58508810,122060
29193083,58386166,58508224,122058
29192795,58385590,58507648,122058
29192135,58384270,58506320,122050
29188719,58377438,58499476,122038
29185449,58370898,58492930,122032
29183543,58367086,58489114,122028
29181695,58363390,58485401,122011
29181167,58362334,58484344,122010
29180699,58361398,58483408,122010
29179995,58359990,58481995,122005
29179903,58359806,58481804,121998
29175721,58351442,58473427,121985
29175465,58350930,58472914,121984
29174651,58349302,58471283,121981
29174095,58348190,58470167,121977
29172767,58345534,58467503,121969
29172763,58345526,58467491,121965
29169087,58338174,58460125,121951
29168283,58336566,58458514,121948
29167753,58335506,58457452,121946
29164983,58329966,58451908,121942
29164827,58329654,58451596,121942
29163519,58327038,58448978,121940
29163433,58326866,58448806,121940
29162987,58325974,58447907,121933
29162799,58325598,58447528,121930
29161981,58323962,58445885,121923
29160895,58321790,58443707,121917
29160751,58321502,58443419,121917
29159465,58318930,58440847,121917
29158113,58316226,58438138,121912
29157131,58314262,58436173,121911
29154543,58309086,58430986,121900
29153439,58306878,58428776,121898
29151727,58303454,58425334,121880
29147359,58294718,58416586,121868
29146167,58292334,58414193,121859
29145447,58290894,58412752,121858
29144095,58288190,58410035,121845
29142511,58285022,58406866,121844
29142299,58284598,58406440,121842
29138971,58277942,58399769,121827
29138075,58276150,58397975,121825
29135643,58271286,58393106,121820
29135579,58271158,58392970,121812
29134447,58268894,58390700,121806
29132969,58265938,58387738,121800
29129727,58259454,58381240,121786
29128447,58256894,58378678,121784
29126825,58253650,58375426,121776
29124863,58249726,58371496,121770
29124143,58248286,58370048,121762
29119145,58238290,58360031,121741
29118319,58236638,58358378,121740
29117595,58235190,58356929,121739
29115135,58230270,58351997,121727
29111431,58222862,58344587,121725
29110383,58220766,58342477,121711
29108463,58216926,58338625,121699
29105705,58211410,58333097,121687
29103241,58206482,58328162,121680
29101907,58203814,58325494,121680
29100635,58201270,58322950,121680
29099423,58198846,58320526,121680
29099195,58198390,58320058,121668
29097981,58195962,58317622,121660
29096743,58193486,58315139,121653
29094505,58189010,58310651,121641
29092947,58185894,58307528,121634
29090767,58181534,58303165,121631
29090699,58181398,58303028,121630
29090017,58180034,58301656,121622
29089789,58179578,58301200,121622
29087743,58175486,58297108,121622
29087507,58175014,58296631,121617
29085289,58170578,58292188,121610
29082779,58165558,58287166,121608
29082607,58165214,58286810,121596
29080361,58160722,58282306,121584
29078991,58157982,58279558,121576
29078767,58157534,58279106,121572
29074683,58149366,58270924,121558
29073147,58146294,58267852,121558
29071527,58143054,58264598,121544
29070473,58140946,58262485,121539
29067167,58134334,58255864,121530
29066855,58133710,58255240,121530
29066537,58133074,58254604,121530
29063947,58127894,58249420,121526
29062939,58125878,58247386,121508
29062697,58125394,58246900,121506
29059487,58118974,58240474,121500
29057661,58115322,58236820,121498
29054747,58109494,58230965,121471
29053439,58106878,58228348,121470
29050139,58100278,58221736,121458
29048447,58096894,58218344,121450
29046185,58092370,58213817,121447
29045999,58091998,58213433,121435
29043681,58087362,58208792,121430
29041695,58083390,58204808,121418
29036995,58073990,58195394,121404
29034623,58069246,58190636,121390
29034367,58068734,58190123,121389
29033191,58066382,58187767,121385
29031935,58063870,58185250,121380
29029097,58058194,58179566,121372
29024159,58048318,58169690,121372
29023871,58047742,58169096,121354
29022015,58044030,58165376,121346
29021267,58042534,58163876,121342
29020763,58041526,58162859,121333
29020007,58040014,58161346,121332
29016095,58032190,58153516,121326
29015951,58031902,58153228,121326
29014375,58028750,58150060,121310
29010119,58020238,58141532,121294
29008211,58016422,58137713,121291
29007295,58014590,58135865,121275
29006825,58013650,58134922,121272
29004345,58008690,58129960,121270
29002409,58004818,58126076,121258
29000425,58000850,58122107,121257
29000319,58000638,58121894,121256
28997275,57994550,58115789,121239
28996351,57992702,58113929,121227
28994047,57988094,58109312,121218
28991655,57983310,58104524,121214
28990463,57980926,58102130,121204
28989615,57979230,58100434,121204
28985185,57970370,58091566,121196
28983965,57967930,58089116,121186
28982975,57965950,58087132,121182
28979271,57958542,58079704,121162
28978175,57956350,58077500,121150
28977791,57955582,58076732,121150
28975847,57951694,58072837,121143
28971775,57943550,58064686,121136
28971495,57942990,58064120,121130
28969735,57939470,58060597,121127
28967583,57935166,58056274,121108
28965471,57930942,58052045,121103
28963303,57926606,58047698,121092
28961007,57922014,58043092,121078
28957415,57914830,58035904,121074
28956207,57912414,58033475,121061
28954875,57909750,58030810,121060
28953483,57906966,58028026,121060
28953383,57906766,58027826,121060
28951935,57903870,58024924,121054
28951231,57902462,58023515,121053
28951199,57902398,58023449,121051
28949727,57899454,58020503,121049
28948839,57897678,58018718,121040
28947695,57895390,58016413,121023
28945405,57890810,58011832,121022
28944105,57888210,58009229,121019
28943017,57886034,58007042,121008
28940351,57880702,58001704,121002
28940143,57880286,58001284,120998
28935923,57871846,57992840,120994
28935479,57870958,57991949,120991
28935431,57870862,57991840,120978
28933991,57867982,57988958,120976
28933801,57867602,57988570,120968
28930543,57861086,57982048,120962
28928411,57856822,57977777,120955
28928275,57856550,57977498,120948
28927529,57855058,57976003,120945
28926335,57852670,57973610,120940
28924699,57849398,57970328,120930
28924073,57848146,57969076,120930
28921151,57842302,57963223,120921
28920161,57840322,57961241,120919
28920063,57840126,57961039,120913
28918185,57836370,57957277,120907
28917703,57835406,57956312,120906
28916463,57832926,57953825,120899
28916137,57832274,57953168,120894
28912749,57825498,57946391,120893
28912521,57825042,57945928,120886
28911785,57823570,57944447,120877
28909023,57818046,57938923,120877
28908955,57817910,57938782,120872
28907303,57814606,57935464,120858
28907049,57814098,57934955,120857
28905597,57811194,57932050,120856
28904519,57809038,57929890,120852
28903195,57806390,57927230,120840
28901375,57802750,57923581,120831
28900799,57801598,57922427,120829
28896431,57792862,57913690,120828
28896347,57792694,57913522,120828
28896127,57792254,57913076,120822
28894073,57788146,57908965,120819
28892809,57785618,57906431,120813
28891007,57782014,57902807,120793
28890879,57781758,57902546,120788
28890047,57780094,57900881,120787
28888319,57776638,57897422,120784
28883361,57766722,57887494,120772
28883291,57766582,57887354,120772
28882939,57765878,57886649,120771
28882345,57764690,57885445,120755
28877503,57755006,57875741,120735
28876015,57752030,57872755,120725
28874367,57748734,57869453,120719
28873343,57746686,57867400,120714
28870079,57740158,57860872,120714
28869943,57739886,57860596,120710
28869417,57738834,57859541,120707
28868943,57737886,57858586,120700
28868455,57736910,57857606,120696
28867183,57734366,57855059,120693
28866103,57732206,57852893,120687
28862505,57725010,57845681,120671
28861999,57723998,57844664,120666
28857811,57715622,57836285,120663
28857323,57714646,57835294,120648
28851311,57702622,57823253,120631
28849663,57699326,57819946,120620
28849183,57698366,57818986,120620
28848783,57697566,57818182,120616
28844543,57689086,57809686,120600
28844031,57688062,57808652,120590
28842151,57684302,57804892,120590
28840423,57680846,57801430,120584
28839067,57678134,57798710,120576
28838055,57676110,57796676,120566
28837887,57675774,57796337,120563
28836711,57673422,57793985,120563
28836583,57673166,57793729,120563
28835839,57671678,57792232,120554
28832615,57665230,57785776,120546
28830249,57660498,57781043,120545
28827815,57655630,57776165,120535
28826159,57652318,57772840,120522
28822555,57645110,57765622,120512
28821601,57643202,57763714,120512
28819303,57638606,57759100,120494
28816553,57633106,57753592,120486
28813451,57626902,57747386,120484
28811945,57623890,57744359,120469
28809707,57619414,57739877,120463
28808959,57617918,57738379,120461
28807967,57615934,57736390,120456
28805951,57611902,57732344,120442
28805801,57611602,57732032,120430
28802407,57604814,57725243,120429
28799529,57599058,57719471,120413
28798035,57596070,57716479,120409
28796251,57592502,57712910,120408
28793631,57587262,57707648,120386
28790739,57581478,57701860,120382
28786927,57573854,57694207,120353
28785663,57571326,57691673,120347
28781417,57562834,57683173,120339
28777609,57555218,57675550,120332
28777449,57554898,57675215,120317
28776767,57553534,57673844,120310
28774887,57549774,57670082,120308
28772729,57545458,57665752,120294
28770075,57540150,57660437,120287
28768471,57536942,57657226,120284
28766945,57533890,57654166,120276
28766391,57532782,57653056,120274
28766271,57532542,57652816,120274
28764815,57529630,57649900,120270
28763583,57527166,57647428,120262
28760223,57520446,57640693,120247
28759123,57518246,57638492,120246
28758163,57516326,57636566,120240
28757247,57514494,57634730,120236
28754087,57508174,57628408,120234
28751471,57502942,57623167,120225
28751211,57502422,57622637,120215
28749311,57498622,57618823,120201
28748227,57496454,57616654,120200
28746063,57492126,57612323,120197
28746055,57492110,57612296,120186
28744703,57489406,57609580,120174
28742655,57485310,57605476,120166
28740607,57481214,57601373,120159
28736649,57473298,57593450,120152
28735865,57471730,57591881,120151
28735017,57470034,57590180,120146
28733983,57467966,57588100,120134
28733083,57466166,57586294,120128
28731305,57462610,57582733,120123
28729663,57459326,57579439,120113
28726511,57453022,57573121,120099
28721407,57442814,57562904,120090
28720287,57440574,57560656,120082
28718875,57437750,57557818,120068
28718171,57436342,57556408,120066
28715945,57431890,57551953,120063
28713385,57426770,57546827,120057
28710879,57421758,57541804,120046
28709099,57418198,57538240,120042
28708897,57417794,57537830,120036
28708711,57417422,57537448,120026
28705639,57411278,57531296,120018
28704839,57409678,57529688,120010
28702035,57404070,57524080,120010
28701099,57402198,57522202,120004
28700991,57401982,57521986,120004
28700391,57400782,57520774,119992
28699371,57398742,57518734,119992
28696801,57393602,57513580,119978
28696555,57393110,57513088,119978
28694695,57389390,57509357,119967
28692223,57384446,57504410,119964
28689021,57378042,57497996,119954
28687487,57374974,57494915,119941
28684969,57369938,57489875,119937
28683903,57367806,57487727,119921
28682491,57364982,57484900,119918
28682407,57364814,57484732,119918
28680039,57360078,57479992,119914
28675739,57351478,57471389,119911
28675399,57350798,57470687,119889
28672807,57345614,57465494,119880
28672283,57344566,57464441,119875
28670399,57340798,57460670,119872
28667945,57335890,57455756,119866
28665967,57331934,57451790,119856
28664031,57328062,57447901,119839
28662887,57325774,57445612,119838
28662783,57325566,57445397,119831
28662015,57324030,57443861,119831
28661919,57323838,57443668,119830
28660649,57321298,57441125,119827
28656255,57312510,57432320,119810
28655855,57311710,57431518,119808
28653793,57307586,57427385,119799
28653479,57306958,57426754,119796
28650825,57301650,57421445,119795
28650779,57301558,57421348,119790
28650633,57301266,57421055,119789
28649887,57299774,57419560,119786
28646913,57293826,57413609,119783
28645291,57290582,57410356,119774
28645023,57290046,57409804,119758
28643175,57286350,57406103,119753
28641387,57282774,57402523,119749
28634221,57268442,57388171,119729
28633119,57266238,57385960,119722
28632935,57265870,57385579,119709
28629319,57258638,57378334,119696
28628345,57256690,57376384,119694
28627743,57255486,57375178,119692
28626943,57253886,57373567,119681
28621247,57242494,57362153,119659
28617683,57235366,57355019,119653
28617023,57234046,57353690,119644
28612795,57225590,57345226,119636
28612663,57225326,57344962,119636
28612351,57224702,57344323,119621
28608671,57217342,57336952,119610
28606729,57213458,57333068,119610
28606203,57212406,57332006,119600
28604507,57209014,57328612,119598
28603807,57207614,57327209,119595
28602815,57205630,57325214,119584
28602367,57204734,57324313,119579
28600167,57200334,57319904,119570
28597183,57194366,57313927,119561
28592011,57184022,57303575,119553
28591567,57183134,57302672,119538
28589369,57178738,57298276,119538
28589055,57178110,57297638,119528
28587239,57174478,57293999,119521
28582313,57164626,57284129,119503
28579609,57159218,57278716,119498
28579581,57159162,57278656,119494
28578683,57157366,57276850,119484
28576929,57153858,57273338,119480
28571649,57143298,57262774,119476
28570927,57141854,57261304,119450
28569215,57138430,57257878,119448
28568175,57136350,57255797,119447
28564221,57128442,57247877,119435
28563559,57127118,57246547,119429
28562045,57124090,57243518,119428
28561947,57123894,57243311,119417
28561887,57123774,57243188,119414
28556447,57112894,57232291,119397
28552287,57104574,57223961,119387
28551419,57102838,57222224,119386
28550239,57100478,57219851,119373
28550009,57100018,57219382,119364
28549871,57099742,57219104,119362
28546015,57092030,57211384,119354
28543195,57086390,57205736,119346
28542889,57085778,57205120,119342
28542745,57085490,57204832,119342
28541323,57082646,57201988,119342
28538271,57076542,57195868,119326
28536895,57073790,57193103,119313
28534847,57069694,57189004,119310
28533187,57066374,57185677,119303
28531439,57062878,57182168,119290
28529643,57059286,57178570,119284
28529463,57058926,57178210,119284
28528777,57057554,57176837,119283
28528265,57056530,57175807,119277
28527785,57055570,57174844,119274
28527775,57055550,57174821,119271
28525055,57050110,57169367,119257
28522721,57045442,57164696,119254
28522039,57044078,57163328,119250
28520699,57041398,57160640,119242
28518313,57036626,57155858,119232
28514759,57029518,57148738,119220
28509743,57019486,57138694,119208
28508927,57017854,57137062,119208
28507775,57015550,57134737,119187
28506855,57013710,57132892,119182
28504919,57009838,57129020,119182
28502143,57004286,57123454,119168
28501415,57002830,57121996,119166
28499583,56999166,57118315,119149
28499303,56998606,57117755,119149
28494567,56989134,57108280,119146
28491773,56983546,57102691,119145
28490745,56981490,57100616,119126
28490051,56980102,57099224,119122
28489119,56978238,57097345,119107
28488943,56977886,57096992,119106
28487527,56975054,57094157,119103
28485353,56970706,57089801,119095
28478535,56957070,57076150,119080
28477567,56955134,57074206,119072
28477183,56954366,57073426,119060
28472317,56944634,57063680,119046
28468331,56936662,57055691,119029
28467423,56934846,57053866,119020
28466489,56932978,57051994,119016
28463499,56926998,57046012,119014
28463355,56926710,57045710,119000
28460703,56921406,57040403,118997
28460671,56921342,57040330,118988
28460271,56920542,57039527,118985
28457943,56915886,57034868,118982
28452863,56905726,57024688,118962
28449919,56899838,57018796,118958
28449543,56899086,57018040,118954
28447295,56894590,57013541,118951
28445159,56890318,57009257,118939
28444879,56889758,57008684,118926
28442281,56884562,57003478,118916
28441243,56882486,57001394,118908
28437967,56875934,56994830,118896
28433705,56867410,56986294,118884
28432001,56864002,56982878,118876
28431055,56862110,56980982,118872
28429495,56858990,56977856,118866
28428055,56856110,56974970,118860
28424813,56849626,56968486,118860
28423787,56847574,56966429,118855
28420265,56840530,56959360,118830
28420095,56840190,56959018,118828
28418671,56837342,56956166,118824
28415977,56831954,56950762,118808
28415391,56830782,56949583,118801
28413659,56827318,56946118,118800
28413495,56826990,56945788,118798
28412129,56824258,56943052,118794
28411327,56822654,56941436,118782
28409039,56818078,56936854,118776
28408489,56816978,56935750,118772
28405247,56810494,56929256,118762
28403559,56807118,56925872,118754
28401311,56802622,56921362,118740
28398407,56796814,56915542,118728
28395947,56791894,56910616,118722
28395453,56790906,56909627,118721
28392959,56785918,56904632,118714
28390503,56781006,56899703,118697
28387327,56774654,56893337,118683
28386023,56772046,56890726,118680
28384703,56769406,56888077,118671
28382447,56764894,56883559,118665
28378907,56757814,56876462,118648
28377129,56754258,56872906,118648
28376303,56752606,56871244,118638
28374687,56749374,56868002,118628
28373743,56747486,56866112,118626
28373503,56747006,56865629,118623
28371687,56743374,56861995,118621
28370523,56741046,56859658,118612
28366591,56733182,56851784,118602
28365945,56731890,56850487,118597
28365551,56731102,56849696,118594
28363687,56727374,56845966,118592
28363647,56727294,56845883,118589
28363179,56726358,56844946,118588
28362707,56725414,56843999,118585
28360319,56720638,56839210,118572
28360127,56720254,56838824,118570
28359167,56718334,56836901,118567
28358881,56717762,56836328,118566
28355711,56711422,56829971,118549
28351935,56703870,56822404,118534
28350555,56701110,56819638,118528
28346407,56692814,56811334,118520
28344745,56689490,56807999,118509
28340475,56680950,56799448,118498
28339559,56679118,56797600,118482
28336879,56673758,56792231,118473
28334747,56669494,56787961,118467
28333439,56666878,56785336,118458
28331455,56662910,56781364,118454
28331263,56662526,56780980,118454
28328255,56656510,56774945,118435
28323995,56647990,56766418,118428
28323497,56646994,56765416,118422
28322471,56644942,56763355,118413
28320735,56641470,56759879,118409
28318875,56637750,56756159,118409
28318023,56636046,56754445,118399
28317211,56634422,56752817,118395
28315647,56631294,56749679,118385
28313247,56626494,56744872,118378
28312423,56624846,56743217,118371
28311551,56623102,56741467,118365
28308927,56617854,56736209,118355
28305855,56611710,56730059,118349
28304411,56608822,56727161,118339
28300959,56601918,56720240,118322
28300543,56601086,56719406,118320
28298123,56596246,56714566,118320
28296969,56593938,56712257,118319
28296039,56592078,56710385,118307
28293279,56586558,56704855,118297
28291931,56583862,56702150,118288
28291143,56582286,56700572,118286
28288765,56577530,56695805,118275
28287679,56575358,56693632,118274
28285167,56570334,56688592,118258
28283635,56567270,56685523,118253
28282423,56564846,56683091,118245
28280991,56561982,56680222,118240
28277479,56554958,56673196,118238
28277417,56554834,56673058,118224
28274231,56548462,56666686,118224
28270887,56541774,56659981,118207
28270007,56540014,56658215,118201
28268799,56537598,56655784,118186
28264179,56528358,56646535,118177
28263451,56526902,56645077,118175
